start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked
2/11/25,12:00:00,2/11/25,13:00:00,0,0
2/11/25,13:00:00,2/11/25,14:00:00,0,0
2/11/25,14:00:00,2/11/25,15:00:00,0,0
2/11/25,15:00:00,2/11/25,16:00:00,0,0
2/11/25,16:00:00,2/11/25,17:00:00,0,0
2/11/25,17:00:00,2/11/25,18:00:00,0,0
2/11/25,18:00:00,2/11/25,19:00:00,0,0
2/11/25,19:00:00,2/11/25,20:00:00,0,0
2/11/25,20:00:00,2/11/25,21:00:00,0,0
2/11/25,21:00:00,2/11/25,22:00:00,0,0
2/11/25,22:00:00,2/11/25,23:00:00,0,0
2/11/25,23:00:00,2/11/25,24:00:00,95,0
2/12/25,00:00:00,2/12/25,01:00:00,0,0
2/12/25,01:00:00,2/12/25,02:00:00,0,0
2/12/25,02:00:00,2/12/25,03:00:00,0,0
2/12/25,03:00:00,2/12/25,04:00:00,0,1
2/12/25,04:00:00,2/12/25,05:00:00,0,1
2/12/25,05:00:00,2/12/25,06:00:00,0,2
2/12/25,06:00:00,2/12/25,07:00:00,0,2
2/12/25,07:00:00,2/12/25,08:00:00,0,0
2/12/25,08:00:00,2/12/25,09:00:00,0,0
2/12/25,09:00:00,2/12/25,10:00:00,0,7
2/12/25,10:00:00,2/12/25,11:00:00,0,4
2/12/25,11:00:00,2/12/25,12:00:00,0,3
2/12/25,12:00:00,2/12/25,13:00:00,0,1
2/12/25,13:00:00,2/12/25,14:00:00,0,4
2/12/25,14:00:00,2/12/25,15:00:00,0,0
2/12/25,15:00:00,2/12/25,16:00:00,0,4
2/12/25,16:00:00,2/12/25,17:00:00,0,4
2/12/25,17:00:00,2/12/25,18:00:00,0,2
2/12/25,18:00:00,2/12/25,19:00:00,0,3
2/12/25,19:00:00,2/12/25,20:00:00,0,0
2/12/25,20:00:00,2/12/25,21:00:00,0,0
2/12/25,21:00:00,2/12/25,22:00:00,0,2
2/12/25,22:00:00,2/12/25,23:00:00,0,0
2/12/25,23:00:00,2/12/25,24:00:00,299,0
2/13/25,00:00:00,2/13/25,01:00:00,0,0
2/13/25,01:00:00,2/13/25,02:00:00,0,0
2/13/25,02:00:00,2/13/25,03:00:00,0,0
2/13/25,03:00:00,2/13/25,04:00:00,0,0
2/13/25,04:00:00,2/13/25,05:00:00,0,0
2/13/25,05:00:00,2/13/25,06:00:00,0,1
2/13/25,06:00:00,2/13/25,07:00:00,0,0
2/13/25,07:00:00,2/13/25,08:00:00,0,0
2/13/25,08:00:00,2/13/25,09:00:00,0,0
2/13/25,09:00:00,2/13/25,10:00:00,0,0
2/13/25,10:00:00,2/13/25,11:00:00,0,2
2/13/25,11:00:00,2/13/25,12:00:00,0,0
2/13/25,12:00:00,2/13/25,13:00:00,0,0
2/13/25,13:00:00,2/13/25,14:00:00,0,2
2/13/25,14:00:00,2/13/25,15:00:00,0,0
2/13/25,15:00:00,2/13/25,16:00:00,0,0
2/13/25,16:00:00,2/13/25,17:00:00,0,1
2/13/25,17:00:00,2/13/25,18:00:00,0,2
2/13/25,18:00:00,2/13/25,19:00:00,0,0
2/13/25,19:00:00,2/13/25,20:00:00,0,1
2/13/25,20:00:00,2/13/25,21:00:00,0,2
2/13/25,21:00:00,2/13/25,22:00:00,0,2
2/13/25,22:00:00,2/13/25,23:00:00,0,6
2/13/25,23:00:00,2/13/25,24:00:00,208,4
2/14/25,00:00:00,2/14/25,01:00:00,0,0
2/14/25,01:00:00,2/14/25,02:00:00,0,0
2/14/25,02:00:00,2/14/25,03:00:00,0,3
2/14/25,03:00:00,2/14/25,04:00:00,0,2
2/14/25,04:00:00,2/14/25,05:00:00,0,0
2/14/25,05:00:00,2/14/25,06:00:00,0,0
2/14/25,06:00:00,2/14/25,07:00:00,0,0
2/14/25,07:00:00,2/14/25,08:00:00,0,0
