start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked,Manual_Review
3/6/25,18:00:00,3/6/25,19:00:00,2,0,0
3/6/25,19:00:00,3/6/25,20:00:00,18,0,1
3/6/25,20:00:00,3/6/25,21:00:00,0,0,0
3/6/25,21:00:00,3/6/25,22:00:00,0,0,0
3/6/25,22:00:00,3/6/25,23:00:00,0,0,0
3/6/25,23:00:00,3/6/25,24:00:00,0,0,0
3/7/25,00:00:00,3/7/25,01:00:00,1,0,0
3/7/25,01:00:00,3/7/25,02:00:00,0,0,0
3/7/25,02:00:00,3/7/25,03:00:00,0,0,0
3/7/25,03:00:00,3/7/25,04:00:00,0,0,0
3/7/25,04:00:00,3/7/25,05:00:00,0,0,0
3/7/25,05:00:00,3/7/25,06:00:00,2,0,2
3/7/25,06:00:00,3/7/25,07:00:00,1,0,1
3/7/25,07:00:00,3/7/25,08:00:00,0,0,0
3/7/25,08:00:00,3/7/25,09:00:00,8,6,1
3/7/25,09:00:00,3/7/25,10:00:00,34,31,1
3/7/25,10:00:00,3/7/25,11:00:00,27,25,1
3/7/25,11:00:00,3/7/25,12:00:00,30,15,1
3/7/25,12:00:00,3/7/25,13:00:00,29,14,1
3/7/25,13:00:00,3/7/25,14:00:00,30,8,1
3/7/25,14:00:00,3/7/25,15:00:00,17,9,1
3/7/25,15:00:00,3/7/25,16:00:00,18,16,1
3/7/25,16:00:00,3/7/25,17:00:00,0,0,0
3/7/25,17:00:00,3/7/25,18:00:00,8,3,1
3/7/25,18:00:00,3/7/25,19:00:00,44,34,1
3/7/25,19:00:00,3/7/25,20:00:00,7,2,1
3/7/25,20:00:00,3/7/25,21:00:00,8,0,2
3/7/25,21:00:00,3/7/25,22:00:00,51,35,1
3/7/25,22:00:00,3/7/25,23:00:00,44,21,1
3/7/25,23:00:00,3/7/25,24:00:00,4,0,0
3/8/25,00:00:00,3/8/25,01:00:00,1,0,0
3/8/25,01:00:00,3/8/25,02:00:00,0,0,0
3/8/25,02:00:00,3/8/25,03:00:00,3,0,0
3/8/25,03:00:00,3/8/25,04:00:00,3,0,0
3/8/25,04:00:00,3/8/25,05:00:00,1,0,2
3/8/25,05:00:00,3/8/25,06:00:00,1,0,0
3/8/25,06:00:00,3/8/25,07:00:00,3,0,0
3/8/25,07:00:00,3/8/25,08:00:00,5,0,0
3/8/25,08:00:00,3/8/25,09:00:00,1,0,0
3/8/25,09:00:00,3/8/25,10:00:00,3,0,2
3/8/25,10:00:00,3/8/25,11:00:00,5,0,0
3/8/25,11:00:00,3/8/25,12:00:00,13,0,1
3/8/25,12:00:00,3/8/25,13:00:00,43,4,1
3/8/25,13:00:00,3/8/25,14:00:00,11,4,1
3/8/25,14:00:00,3/8/25,15:00:00,17,0,0
3/8/25,15:00:00,3/8/25,16:00:00,48,2,1
3/8/25,16:00:00,3/8/25,17:00:00,36,30,1
3/8/25,17:00:00,3/8/25,18:00:00,1,0,1
3/8/25,18:00:00,3/8/25,19:00:00,0,0,0
3/8/25,19:00:00,3/8/25,20:00:00,40,0,1
3/8/25,20:00:00,3/8/25,21:00:00,6,0,1
3/8/25,21:00:00,3/8/25,22:00:00,0,0,0
3/8/25,22:00:00,3/8/25,23:00:00,0,0,0
3/8/25,23:00:00,3/8/25,24:00:00,3,0,2
3/9/25,00:00:00,3/9/25,01:00:00,0,0,0
3/9/25,01:00:00,3/9/25,02:00:00,1,0,2
3/9/25,02:00:00,3/9/25,03:00:00,0,0,0
3/9/25,03:00:00,3/9/25,04:00:00,11,3,1
3/9/25,04:00:00,3/9/25,05:00:00,0,0,0
3/9/25,05:00:00,3/9/25,06:00:00,16,16,1
3/9/25,06:00:00,3/9/25,07:00:00,12,12,1
3/9/25,07:00:00,3/9/25,08:00:00,4,0,0
3/9/25,08:00:00,3/9/25,09:00:00,1,0,0
3/9/25,09:00:00,3/9/25,10:00:00,1,0,0
3/9/25,10:00:00,3/9/25,11:00:00,11,0,1
3/9/25,11:00:00,3/9/25,12:00:00,0,0,0
3/9/25,12:00:00,3/9/25,13:00:00,0,0,0
3/9/25,13:00:00,3/9/25,14:00:00,27,6,1
3/9/25,14:00:00,3/9/25,15:00:00,6,0,0
3/9/25,15:00:00,3/9/25,16:00:00,2,0,0
3/9/25,16:00:00,3/9/25,17:00:00,0,0,0
3/9/25,17:00:00,3/9/25,18:00:00,5,0,1
3/9/25,18:00:00,3/9/25,19:00:00,3,0,0
3/9/25,19:00:00,3/9/25,20:00:00,13,8,1
3/9/25,20:00:00,3/9/25,21:00:00,17,7,1
3/9/25,21:00:00,3/9/25,22:00:00,6,0,0
3/9/25,22:00:00,3/9/25,23:00:00,15,7,1
3/9/25,23:00:00,3/9/25,24:00:00,0,0,0
3/10/25,00:00:00,3/10/25,01:00:00,8,1,1
3/10/25,01:00:00,3/10/25,02:00:00,0,0,0
3/10/25,02:00:00,3/10/25,03:00:00,0,0,0
3/10/25,03:00:00,3/10/25,04:00:00,0,0,0
3/10/25,04:00:00,3/10/25,05:00:00,3,0,0
3/10/25,05:00:00,3/10/25,06:00:00,7,0,0
3/10/25,06:00:00,3/10/25,07:00:00,1,0,0
3/10/25,07:00:00,3/10/25,08:00:00,6,0,0
3/10/25,08:00:00,3/10/25,09:00:00,1,1,2
3/10/25,09:00:00,3/10/25,10:00:00,2,1,2
3/10/25,10:00:00,3/10/25,11:00:00,3,0,0
3/10/25,11:00:00,3/10/25,12:00:00,8,0,0
3/10/25,12:00:00,3/10/25,13:00:00,25,21,1
3/10/25,13:00:00,3/10/25,14:00:00,31,27,1
3/10/25,14:00:00,3/10/25,15:00:00,7,1,1
3/10/25,15:00:00,3/10/25,16:00:00,6,6,1
3/10/25,16:00:00,3/10/25,17:00:00,17,13,1
3/10/25,17:00:00,3/10/25,18:00:00,12,4,1
3/10/25,18:00:00,3/10/25,19:00:00,1,0,2
3/10/25,19:00:00,3/10/25,20:00:00,0,0,0
3/10/25,20:00:00,3/10/25,21:00:00,0,0,0
3/10/25,21:00:00,3/10/25,22:00:00,7,0,0
3/10/25,22:00:00,3/10/25,23:00:00,8,8,1
3/10/25,23:00:00,3/10/25,24:00:00,4,2,1
3/11/25,00:00:00,3/11/25,01:00:00,5,1,2
3/11/25,01:00:00,3/11/25,02:00:00,0,0,0
3/11/25,02:00:00,3/11/25,03:00:00,0,0,0
3/11/25,03:00:00,3/11/25,04:00:00,0,0,0
3/11/25,04:00:00,3/11/25,05:00:00,7,0,0
3/11/25,05:00:00,3/11/25,06:00:00,0,0,0
3/11/25,06:00:00,3/11/25,07:00:00,0,0,0
3/11/25,07:00:00,3/11/25,08:00:00,4,0,0
3/11/25,08:00:00,3/11/25,09:00:00,0,0,0
3/11/25,09:00:00,3/11/25,10:00:00,0,0,0
3/11/25,10:00:00,3/11/25,11:00:00,0,0,0
3/11/25,11:00:00,3/11/25,12:00:00,3,0,0
3/11/25,12:00:00,3/11/25,13:00:00,4,0,0
3/11/25,13:00:00,3/11/25,14:00:00,3,2,1
3/11/25,14:00:00,3/11/25,15:00:00,4,0,0
3/11/25,15:00:00,3/11/25,16:00:00,2,0,0
3/11/25,16:00:00,3/11/25,17:00:00,0,0,0
3/11/25,17:00:00,3/11/25,18:00:00,3,0,0
3/11/25,18:00:00,3/11/25,19:00:00,5,0,0
3/11/25,19:00:00,3/11/25,20:00:00,35,31,1
3/11/25,20:00:00,3/11/25,21:00:00,13,7,1
3/11/25,21:00:00,3/11/25,22:00:00,20,15,1
3/11/25,22:00:00,3/11/25,23:00:00,1,1,1
3/11/25,23:00:00,3/11/25,24:00:00,1,0,0
3/12/25,00:00:00,3/12/25,01:00:00,7,0,0
3/12/25,01:00:00,3/12/25,02:00:00,30,25,1
3/12/25,02:00:00,3/12/25,03:00:00,54,51,1
3/12/25,03:00:00,3/12/25,04:00:00,12,7,1
3/12/25,04:00:00,3/12/25,05:00:00,9,2,1
3/12/25,05:00:00,3/12/25,06:00:00,15,14,1
3/12/25,06:00:00,3/12/25,07:00:00,4,4,1
3/12/25,07:00:00,3/12/25,08:00:00,3,0,0
3/12/25,08:00:00,3/12/25,09:00:00,3,0,2
3/12/25,09:00:00,3/12/25,10:00:00,30,30,1
3/12/25,10:00:00,3/12/25,11:00:00,26,23,1
3/12/25,11:00:00,3/12/25,12:00:00,24,22,1
3/12/25,12:00:00,3/12/25,13:00:00,101,91,1
3/12/25,13:00:00,3/12/25,14:00:00,57,54,1
3/12/25,14:00:00,3/12/25,15:00:00,31,25,1
3/12/25,15:00:00,3/12/25,16:00:00,28,26,1
3/12/25,16:00:00,3/12/25,17:00:00,37,37,1
3/12/25,17:00:00,3/12/25,18:00:00,2,0,0
3/12/25,18:00:00,3/12/25,19:00:00,3,0,0
3/12/25,19:00:00,3/12/25,20:00:00,1,0,0
3/12/25,20:00:00,3/12/25,21:00:00,4,0,0
3/12/25,21:00:00,3/12/25,22:00:00,0,0,0
3/12/25,22:00:00,3/12/25,23:00:00,14,0,1
3/12/25,23:00:00,3/12/25,24:00:00,8,4,1
3/13/25,00:00:00,3/13/25,01:00:00,4,0,0
3/13/25,01:00:00,3/13/25,02:00:00,1,0,0
3/13/25,02:00:00,3/13/25,03:00:00,4,0,0
3/13/25,03:00:00,3/13/25,04:00:00,2,0,0
3/13/25,04:00:00,3/13/25,05:00:00,8,8,1
3/13/25,05:00:00,3/13/25,06:00:00,4,0,0
3/13/25,06:00:00,3/13/25,07:00:00,2,0,0
3/13/25,07:00:00,3/13/25,08:00:00,0,0,0
3/13/25,08:00:00,3/13/25,09:00:00,0,0,0
